MedicationID,Name,Dosage,StockLevel,LowStockLevel,ReplenishmentRequested,Manufacturer
MD001,Lisinopril,10mg,50,20,false,Pfizer
MD002,Metformin,500mg,100,30,false,Merck
MD003,Atorvastatin,20mg,75,25,false,Novartis
MD004,Albuterol,90mcg,200,50,true,GlaxoSmithKline
MD005,Sertraline,50mg,60,20,false,AstraZeneca
MD006,Ibuprofen,400mg,150,40,false,Johnson & Johnson
MD007,Omeprazole,20mg,80,30,false,Bayer
MD008,Levothyroxine,100mcg,90,25,true,Sanofi
MD009,Amlodipine,5mg,120,35,false,Teva
MD010,Amoxicillin,500mg,100,30,false,Sun Pharma